GTFS Stop ID,Stop Name,station_low,ZIP_CODE,GTFS Latitude,GTFS Longitude,PerHH,BachDeg,GradDeg,TotGrad,2015 Median Household Income,SV
R25,City Hall,city hall,10007,40.710668,-74.011029,0.184576023,0.436510308,0.404242605,0.840752913,120453,0
R26,Cortlandt St,cortlandt st,10006,40.70722,-74.013342,0.184576023,0.436510308,0.404242605,0.840752913,120453,1.208183068
R27,Rector St,rector st,10004,40.703087,-74.012994,0.147928994,0.372473532,0.350336862,0.722810395,83091,0
R28,Whitehall St,whitehall st,11201,40.6941,-73.991777,0.2933687,0.449441891,0.391661195,0.841103086,121654,0
R29,Court St,court st,11201,40.69218,-73.985942,0,0.453125,0.34375,0.796875,40154,0
R30,Jay St - MetroTech,jay st - metrotech,11201,40.690635,-73.981824,0.046021093,0.282602025,0.268180423,0.550782449,57386,0
R31,DeKalb Av,dekalb av,11217,40.683666,-73.97881,0.145491803,0.335084647,0.251605371,0.586690018,69437,0
R32,Atlantic Av - Barclays Ctr,atlantic av - barclays ctr,11215,40.677316,-73.98311,0.184826884,0.387055016,0.385436893,0.772491909,116470,0
R33,Union St,union st,11215,40.670847,-73.988302,0.077562327,0.338748985,0.304224208,0.642973193,77249,0
R34,9 St,9 st,11215,40.665414,-73.992872,0.097289785,0.26208749,0.223714505,0.485801995,59149,0
R35,Prospect Av,prospect av,11232,40.660397,-73.998091,0.020449898,0.126230661,0.166315049,0.29254571,49239,0
R36,25 St,25 st,11232,40.655144,-74.003549,0.035175879,0.151949798,0.039444195,0.191393994,36684,0
R39,36 St,36 st,11220,40.648939,-74.010006,0.03115016,0.154761905,0.116883117,0.271645022,34287,0
R40,45 St,45 st,11220,40.645069,-74.014034,0.022696011,0.19190969,0.073063656,0.264973346,38210,0
R41,53 St,53 st,11220,40.641362,-74.017881,0.024121296,0.11741263,0.022685469,0.140098099,35062,0
R42,59 St,59 st,11220,40.634967,-74.023377,0.036585366,0.181959565,0.105754277,0.287713841,43903,35.3089844
R43,Bay Ridge Av,bay ridge av,11209,40.629742,-74.02551,0.094730238,0.387200572,0.169824812,0.557025384,67929,0
R44,77 St,77 st,11209,40.622687,-74.028398,0.055004509,0.264309764,0.148484848,0.412794613,56894,1.330047793
R45,86 St,86 st,11209,40.616622,-74.030876,0.125,0.262101535,0.253443526,0.515545061,55999,0.453394005
D24,Bay Ridge - 95 St,bay ridge - 95 st,11217,40.68446,-73.97689,0.107006369,0.244849445,0.245641838,0.490491284,60347,0
D25,Atlantic Av - Barclays Ctr,atlantic av - barclays ctr,11238,40.67705,-73.972367,0.096327096,0.402,0.346,0.748,80185,0
D26,7 Av,7 av,11225,40.661614,-73.962246,0.01496063,0.136574074,0.146296296,0.28287037,44004,0
D27,Prospect Park,prospect park,11225,40.655292,-73.961495,0.013876843,0.18179474,0.066013409,0.247808149,43643,0
D28,Parkside Av,parkside av,11226,40.650527,-73.962982,0.041128647,0.159497342,0.060657322,0.220154664,37464,0
D29,Church Av,church av,11226,40.644031,-73.964492,0.111472742,0.236832275,0.261486739,0.498319014,83993,0
D30,Beverley Rd,beverley rd,11226,40.640927,-73.963891,0.08929837,0.216524217,0.195868946,0.412393162,55638,0
D31,Cortelyou Rd,cortelyou rd,11226,40.635082,-73.962793,0.08929837,0.216524217,0.195868946,0.412393162,55638,0
D32,Newkirk Plaza,newkirk plaza,11230,40.62927,-73.961639,0.030916844,0.292253521,0.136737089,0.42899061,56722,0
D33,Avenue H,avenue h,11230,40.625039,-73.960803,0.030916844,0.292253521,0.136737089,0.42899061,56722,1.014722604
D34,Avenue J,avenue j,11230,40.617618,-73.959399,0.03427065,0.249877751,0.175061125,0.424938875,46910,0
D35,Avenue M,avenue m,11229,40.60867,-73.957734,0.028647568,0.249520154,0.149328215,0.398848369,37597,0
D37,Kings Hwy,kings hwy,11229,40.5993,-73.955929,0.023387097,0.187744459,0.064319861,0.25206432,40939,0
D38,Avenue U,avenue u,11229,40.595246,-73.955161,0.010600707,0.116937598,0.070267436,0.187205034,43092,0
D39,Neck Rd,neck rd,11235,40.586896,-73.954155,0.021621622,0.240890688,0.09159919,0.332489879,40356,0
D40,Sheepshead Bay,sheepshead bay,11235,40.577621,-73.961376,0.004644682,0.2804769,0.108792846,0.389269747,12815,0
D41,Brighton Beach,brighton beach,11235,40.576312,-73.968501,0.003878116,0.111553785,0.055470426,0.167024211,23447,0
D42,Ocean Pkwy,ocean pkwy,11224,40.576127,-73.975939,0.008069337,0.267317439,0.117889994,0.385207434,40983,0
D43,W 8 St - NY Aquarium,w 8 st - ny aquarium,11224,40.577422,-73.981233,0.01079784,0.252666421,0.087164399,0.33983082,33836,0
B12,Coney Island - Stillwell Av,coney island - stillwell av,11219,40.646292,-73.994324,0.00591716,0.122966818,0.022121015,0.145087833,37897,0
B13,9 Av,9 av,11219,40.640914,-73.994304,0.011656144,0.165443104,0.034347142,0.199790246,27184,0
B14,Fort Hamilton Pkwy,fort hamilton pkwy,11219,40.63626,-73.994791,0.009636768,0.145960035,0.026933102,0.172893136,29418,0
B15,50 St,50 st,11219,40.631435,-73.995476,0.054054054,0.077821012,0.085170774,0.162991786,37385,1.762729432
B16,55 St,55 st,11219,40.626472,-73.996895,0.010914052,0.095015576,0.037383178,0.132398754,35889,0
B17,62 St,62 st,11228,40.619589,-73.998864,0.007476636,0.113643178,0.046176912,0.15982009,41387,0
B18,71 St,71 st,11214,40.613501,-74.00061,0.009191176,0.124503311,0.045033113,0.169536424,43859,11.11916868
B19,79 St,79 st,11214,40.607954,-74.001736,0.009546539,0.170533171,0.076109076,0.246642247,36351,0
B20,18 Av,18 av,11214,40.604556,-73.998168,0.020210896,0.111622074,0.073578595,0.185200669,33737,0
B21,20 Av,20 av,11214,40.601875,-73.993728,0.013397129,0.159022177,0.075100806,0.234122984,43192,0
B22,Bay Pkwy,bay pkwy,11214,40.597704,-73.986829,0.011432927,0.100302928,0.048468529,0.148771457,46593,0
B23,25 Av,25 av,11214,40.588841,-73.983765,0.00118624,0.113764928,0.073538655,0.187303583,38099,0
N02,Bay 50 St,bay 50 st,11220,40.635064,-74.011719,0.00676819,0.05129959,0.008207934,0.059507524,39999,0
N03,8 Av,8 av,11219,40.631386,-74.005351,0.082474227,0.108843537,0.039115646,0.147959184,29936,0
N04,Fort Hamilton Pkwy,fort hamilton pkwy,11219,40.624842,-73.996353,0.02862254,0.095015576,0.037383178,0.132398754,55242,0
N05,New Utrecht Av,new utrecht av,11204,40.620671,-73.990414,0.013333333,0.107501477,0.077377437,0.184878913,50672,0
N06,18 Av,18 av,11204,40.61741,-73.985026,0.007188498,0.120363361,0.048069644,0.168433005,46591,0
N07,20 Av,20 av,11204,40.611815,-73.981848,0.003320053,0.170700226,0.084220716,0.254920942,36634,0
N08,Bay Pkwy,bay pkwy,11223,40.603923,-73.980353,0.016949153,0.131323283,0.064321608,0.195644891,45518,0
N09,Kings Hwy,kings hwy,11223,40.597473,-73.979137,0.004413063,0.09106985,0.049955791,0.141025641,39555,0
N10,Avenue U,avenue u,11223,40.592721,-73.97823,0.003900156,0.12393336,0.055668427,0.179601788,39931,0
J12,86 St,86 st,11418,40.700492,-73.828294,0.011152416,0.087025316,0.056170886,0.143196203,56333,0.453394005
J13,121 St,121 st,11418,40.697418,-73.836345,0.010012516,0.191773504,0.028846154,0.220619658,49704,0
J14,111 St,111 st,11418,40.695178,-73.84433,0.019428571,0.136195019,0.043985162,0.18018018,48145,0
J15,104 St,104 st,11421,40.693879,-73.851576,0.017955801,0.187145558,0.118147448,0.305293006,48750,0
J16,Woodhaven Blvd,woodhaven blvd,11421,40.692435,-73.86001,0.01865369,0.153198008,0.092684795,0.245882804,55737,2.91715609
J17,85 St - Forest Pkwy,85 st - forest pkwy,11421,40.691324,-73.867139,0.036363636,0.107335128,0.032637954,0.139973082,59405,0
J19,75 St,75 st,11208,40.689941,-73.87255,0,0.075643777,0.030042918,0.105686695,0,0
J20,Cypress Hills,cypress hills,11208,40.683194,-73.873785,0.005107252,0.063538612,0.038123167,0.101661779,35161,0
J21,Crescent St,crescent st,11208,40.68141,-73.880039,0.049403748,0.12169706,0.033122441,0.154819501,49809,0
J22,Norwood Av,norwood av,11208,40.679947,-73.884639,0,0.067365269,0.08757485,0.15494012,33736,0
J23,Cleveland St,cleveland st,11207,40.678024,-73.891688,0.004721435,0.079592781,0.063859324,0.143452106,31775,0
J24,Van Siclen Av,van siclen av,11207,40.676992,-73.898654,0.004721435,0.079592781,0.063859324,0.143452106,31775,8.410844185
J27,Alabama Av,alabama av,11207,40.679498,-73.904512,0.005405405,0.09650924,0.055441478,0.151950719,48925,0
J28,Broadway Jct,broadway jct,11233,40.682893,-73.910456,0.006315789,0.112400733,0.014050092,0.126450825,26472,0
J29,Chauncey St,chauncey st,11221,40.68637,-73.916559,0.007342144,0.124268348,0.025213868,0.149482215,35000,0
J30,Halsey St,halsey st,11221,40.68963,-73.92227,0.007342144,0.124268348,0.025213868,0.149482215,35000,0
J31,Gates Av,gates av,11221,40.693342,-73.928814,0.003023432,0.129483815,0.07567804,0.205161855,28323,0
M11,Kosciuszko St,kosciuszko st,11206,40.697207,-73.935657,0,0.282155567,0.009150991,0.291306558,32011,0
M12,Myrtle Av,myrtle av,11206,40.70026,-73.941126,0,0.186781609,0.020114943,0.206896552,44930,0
M13,Flushing Av,flushing av,11206,40.703869,-73.947408,0.002936858,0.004496403,0.042266187,0.04676259,28416,0.732115643
M14,Lorimer St,lorimer st,11211,40.70687,-73.953431,0.014349776,0.058582308,0.056824839,0.115407147,24077,0
M16,Hewes St,hewes st,11211,40.708359,-73.957757,0.014349776,0.058582308,0.056824839,0.115407147,24077,0
M18,Marcy Av,marcy av,10002,40.718315,-73.987437,0.072118286,0.296817715,0.076110867,0.372928582,42749,0
M19,Essex St,essex st,10002,40.72028,-73.993915,0.072118286,0.296817715,0.076110867,0.372928582,42749,0
M20,Bowery,bowery,10013,40.718092,-73.999892,0.380333952,0.237738309,0.104448428,0.342186736,123445,0
M21,Canal St,canal st,10007,40.713243,-74.003401,0.036533958,0.102755454,0.069843092,0.172598546,30900,7.097144471
M22,Chambers St,chambers st,10038,40.710374,-74.007582,0.199887387,0.337193053,0.311239768,0.648432821,74632,0
M23,Fulton St,fulton st,10005,40.706476,-74.011056,0.210422424,0.448167375,0.384143464,0.832310838,114038,2.469048973
M01,Broad St,broad st,11379,40.711396,-73.889601,0.035096391,0.117743702,0.07694414,0.194687842,58579,0
M04,Middle Village - Metropolitan Av,middle village - metropolitan av,11385,40.706186,-73.895877,0.035096391,0.117743702,0.07694414,0.194687842,58579,0
M05,Fresh Pond Rd,fresh pond rd,11385,40.704423,-73.903077,0.00327654,0.113597246,0.046127367,0.159724613,39544,0
M06,Forest Av,forest av,11385,40.702762,-73.90774,0.010830325,0.076324885,0.060195853,0.136520737,38121,0
M08,Seneca Av,seneca av,11237,40.69943,-73.912385,0.008174387,0.06788745,0.076820009,0.144707459,32984,0
M09,Myrtle - Wyckoff Avs,myrtle - wyckoff avs,11237,40.698664,-73.919711,0.001699717,0.117788462,0.015324519,0.133112981,27458,0
M10,Knickerbocker Av,knickerbocker av,11221,40.697857,-73.927397,0.00770416,0.119534556,0.057475317,0.177009873,38540,0
L01,Central Av,central av,10011,40.739777,-74.002578,0.243914937,0.526941657,0.332218506,0.859160164,98899,0
L02,8 Av,8 av,10011,40.737335,-73.996786,0.25,0.4901377,0.393561593,0.883699293,132519,0
L03,6 Av,6 av,10003,40.734789,-73.99073,0.293398533,0.476904619,0.388422316,0.865326935,121772,0
L05,Union Sq - 14 St,union sq - 14 st,10003,40.732849,-73.986122,0.19418019,0.435867769,0.325454545,0.761322314,97919,0
L06,3 Av,3 av,10009,40.730953,-73.981628,0.125394621,0.435998566,0.283793474,0.71979204,90774,0
L08,1 Av,1 av,11211,40.717304,-73.956872,0.020833333,0.337547408,0.222924568,0.560471976,49219,0
L10,Bedford Av,bedford av,11211,40.714063,-73.950275,0.033519553,0.29723127,0.121606949,0.418838219,54908,0
L11,Lorimer St,lorimer st,11211,40.714565,-73.944053,0.081539465,0.385513078,0.183903421,0.569416499,55957,0
L12,Graham Av,graham av,11206,40.711926,-73.94067,0.031131359,0.352155172,0.237068966,0.589224138,56352,0
L13,Grand St,grand st,11206,40.707739,-73.93985,0.003157562,0.175553887,0.064025535,0.239579422,22290,0
L14,Montrose Av,montrose av,11206,40.706152,-73.933147,0.007763975,0.282711864,0.12,0.402711864,36303,0
L15,Morgan Av,morgan av,11237,40.706607,-73.922913,0.034117647,0.133374309,0.077443147,0.210817455,31806,0
L16,Jefferson St,jefferson st,11237,40.703811,-73.918425,0.006838506,0.109994568,0.049701249,0.159695817,38537,0
L17,DeKalb Av,dekalb av,11385,40.699814,-73.911586,0.010830325,0.06788745,0.076820009,0.144707459,38121,0
L19,Myrtle - Wyckoff Avs,myrtle - wyckoff avs,11385,40.695602,-73.904084,0.008818342,0.147607461,0.04541768,0.193025142,45583,0
L20,Halsey St,halsey st,11207,40.688764,-73.904046,0.003460208,0.112010796,0.028340081,0.140350877,32195,0
L21,Wilson Av,wilson av,11207,40.682829,-73.905249,0.005405405,0.09650924,0.055441478,0.151950719,48925,5.709695461
L22,Bushwick Av - Aberdeen St,bushwick av - aberdeen st,11207,40.678856,-73.90324,0.018595041,0.099403579,0.107355865,0.206759443,43467,0
L24,Broadway Jct,broadway jct,11207,40.675345,-73.903097,0.002857143,0.093023256,0.020255064,0.11327832,28656,0
L25,Atlantic Av,atlantic av,11207,40.669367,-73.901975,0.005413766,0.026119403,0.048507463,0.074626866,20150,0
L26,Sutter Av,sutter av,11207,40.664038,-73.900571,0.000809389,0.033333333,0,0.033333333,11144,0
L27,Livonia Av,livonia av,11207,40.658733,-73.899232,0.0015625,0.130601093,0.073770492,0.204371585,40594,0
L28,New Lots Av,new lots av,11236,40.650573,-73.899485,0.02715655,0.218724778,0.013720743,0.232445521,30164,0
L29,E 105 St,e 105 st,11236,40.646654,-73.90185,0.020114943,0.133658009,0.048701299,0.182359307,59804,0
S01,Canarsie - Rockaway Pkwy,canarsie - rockaway pkwy,11238,40.680596,-73.955827,0.057232704,0.259489051,0.153284672,0.412773723,43494,0
S03,Franklin Av,franklin av,11238,40.674772,-73.957624,0.024380653,0.274893617,0.18787234,0.462765957,48520,14.84780816
S04,Park Pl,park pl,11225,40.670343,-73.959245,0.010171306,0.170875697,0.107904231,0.278779928,40231,0
A02,Botanic Garden,botanic garden,10034,40.868072,-73.919899,0.004408274,0.164066432,0.035900017,0.199966449,34980,0
A03,Inwood - 207 St,inwood - 207 st,10040,40.865491,-73.927271,0.021932424,0.167252284,0.227687983,0.394940267,52009,0
A05,Dyckman St,dyckman st,10040,40.859022,-73.93418,0.056254626,0.364989059,0.393873085,0.758862144,78092,0
A06,190 St,190 st,10033,40.851695,-73.937969,0.107966779,0.302737837,0.359267284,0.662005121,71420,0
A07,181 St,181 st,10033,40.847391,-73.939704,0.004408274,0.130254882,0.043032109,0.173286991,26625,0
A09,175 St,175 st,10032,40.840719,-73.939561,0.005082592,0.120313374,0.059317292,0.179630666,32759,0
A10,168 St,168 st,10032,40.836013,-73.939892,0.027624309,0.121924348,0.103195006,0.225119354,27031,0
A11,163 St - Amsterdam Av,163 st - amsterdam av,10032,40.830518,-73.941514,0.044326962,0.14655776,0.080980163,0.227537923,31713,0
A12,155 St,155 st,10031,40.824783,-73.944216,0.088848263,0.236617184,0.250787224,0.487404408,41485,0
A14,145 St,145 st,10031,40.817894,-73.947649,0.068877551,0.37030191,0.176833025,0.547134935,46666,0
A15,135 St,135 st,10027,40.811109,-73.952343,0.066032124,0.32398524,0.296678967,0.620664207,45673,3.439501039
A16,125 St,125 st,10026,40.805085,-73.954882,0.053248136,0.255680655,0.184237462,0.439918117,36168,0
A17,116 St,116 st,10026,40.800603,-73.958161,0.060347455,0.202776763,0.19108513,0.393861893,41596,41.98429224
A24,Cathedral Pkwy (110 St),cathedral pkwy (110 st),10023,40.768296,-73.981736,0.305301645,0.34479272,0.499241658,0.844034378,169163,0
A25,103 St,103 st,10019,40.762456,-73.985984,0.229120879,0.334997919,0.369538077,0.704535997,110924,0
A27,96 St,96 st,10036,40.757308,-73.989735,0.01734104,0.132394366,0.118309859,0.250704225,12241,1.662769627
A28,86 St,86 st,10001,40.752287,-73.993391,0.284482759,0.220125786,0.704402516,0.924528302,109784,0.453394005
A30,81 St - Museum of Natural History,81 st - museum of natural history,10011,40.745906,-73.998041,0.235283263,0.431442291,0.368842255,0.800284546,76152,0
A31,72 St,72 st,10011,40.740893,-74.00169,0.11942959,0.412478584,0.354083381,0.766561965,39374,0
A32,59 St - Columbus Circle,59 st - columbus circle,10011,40.732338,-74.000495,0.15184136,0.524246396,0.309742246,0.833988641,89438,0
A33,50 St,50 st,10013,40.726227,-74.003739,0.185071575,0.48854011,0.304185351,0.792725461,109080,1.762729432
A34,42 St - Port Authority Bus Terminal,42 st - port authority bus terminal,10013,40.720824,-74.005229,0.443279671,0.449094157,0.455473335,0.904567492,199264,0
A36,34 St - Penn Station,34 st - penn station,10007,40.714111,-74.008585,0.616333938,0.461141113,0.435078657,0.89621977,200000,0
E01,23 St,23 st,10007,40.712582,-74.009781,0.616333938,0.461141113,0.435078657,0.89621977,200000,5.950705671
A38,14 St,14 st,10038,40.710197,-74.007691,0.251959155,0.471326165,0.379032258,0.850358423,128359,0
A40,W 4 St,w 4 st,11201,40.699337,-73.990531,0.010135135,0.227750138,0.291321172,0.51907131,82711,0
A41,Spring St,spring st,11201,40.692338,-73.987342,0,0.453125,0.34375,0.796875,40154,0.441163891
A42,Canal St,canal st,11201,40.688484,-73.985001,0.235472155,0.3591714,0.354827932,0.713999332,103533,7.097144471
A43,Chambers St,chambers st,11217,40.686113,-73.973946,0.112831858,0.371841155,0.375451264,0.747292419,71150,0
A44,World Trade Center,world trade center,11238,40.683263,-73.965838,0.08186398,0.333333333,0.26866917,0.602002503,65950,0
A45,Fulton St,fulton st,11238,40.68138,-73.956848,0.057232704,0.259489051,0.153284672,0.412773723,43494,2.469048973
A46,High St,high st,11216,40.680438,-73.950426,0,0.265022138,0.073371284,0.338393422,30155,0
A47,Jay St - MetroTech,jay st - metrotech,11216,40.679921,-73.940858,0.009640666,0.121842496,0.050520059,0.172362556,38489,0
A48,Hoyt - Schermerhorn Sts,hoyt - schermerhorn sts,11213,40.679364,-73.930729,0.009640666,0.231691649,0.159743041,0.39143469,38489,0
A49,Lafayette Av,lafayette av,11233,40.678822,-73.920786,0.038663172,0.108255878,0.026790596,0.135046473,48635,0
A50,Clinton - Washington Avs,clinton - washington avs,11233,40.67834,-73.911946,0.052732502,0.108255878,0.026790596,0.135046473,41992,0
A51,Franklin Av,franklin av,11233,40.678334,-73.905316,0.007619048,0.107966457,0.032494759,0.140461216,39000,14.84780816
A52,Nostrand Av,nostrand av,11207,40.674542,-73.896548,0.004721435,0.079592781,0.063859324,0.143452106,31775,0
A53,Kingston - Throop Avs,kingston - throop avs,11207,40.67271,-73.890358,0.003948667,0.03255814,0.026744186,0.059302326,20753,0
A54,Utica Av,utica av,11208,40.67413,-73.88075,0.021517554,0.04675167,0.058894961,0.10564663,38535,0
A55,Ralph Av,ralph av,11208,40.675377,-73.872106,0.01281337,0.071261682,0.038259346,0.109521028,38090,0
A57,Rockaway Av,rockaway av,11208,40.677044,-73.86505,0.015936255,0.111692845,0.07417103,0.185863874,47914,0.444599574
A59,Broadway Jct,broadway jct,11417,40.679371,-73.858992,0.02297593,0.148876404,0.052434457,0.201310861,45215,0
A60,Liberty Av,liberty av,11417,40.679843,-73.85147,0.005497862,0.126900746,0.042300249,0.169200995,59659,0
A61,Van Siclen Av,van siclen av,11417,40.680429,-73.843853,0.040183697,0.172955975,0.037735849,0.210691824,57313,8.410844185
A63,Shepherd Av,shepherd av,11417,40.681711,-73.837683,0.018691589,0.110465116,0.043604651,0.154069767,45425,0
A64,Euclid Av,euclid av,11419,40.684331,-73.832163,0.044444444,0.099373321,0.032229185,0.131602507,55498,0
A65,Grant Av,grant av,11419,40.685951,-73.825798,0.023782559,0.175592625,0.011413521,0.187006146,51926,0
H01,80 St,80 st,11420,40.672097,-73.835919,0.005797101,0.121614151,0.056384743,0.177998894,60153,0
H02,88 St,88 st,11420,40.668234,-73.834058,0.005797101,0.091986724,0.083451873,0.175438596,60153,0
H03,Rockaway Blvd,rockaway blvd,11414,40.660476,-73.830301,0,0.099726027,0.093333333,0.193059361,0,0
H04,104 St,104 st,11693,40.608382,-73.815925,0.070234114,0.080513419,0.043173862,0.123687281,91913,0
H12,111 St,111 st,11693,40.588034,-73.813641,0.017320428,0.198465964,0.063598594,0.262064557,32135,0
H13,Ozone Park - Lefferts Blvd,ozone park - lefferts blvd,11694,40.585307,-73.820558,0.013147083,0.166382979,0.087659574,0.254042553,50051,0
H14,Aqueduct Racetrack,aqueduct racetrack,11694,40.583209,-73.827559,0.00369515,0.134644478,0.103378719,0.238023197,40743,0
H15,Aqueduct - N Conduit Av,aqueduct - n conduit av,11694,40.580903,-73.835592,0.00369515,0.134644478,0.103378719,0.238023197,40743,0
H06,Howard Beach - JFK Airport,howard beach - jfk airport,11692,40.590927,-73.796924,0.028757461,0.106818182,0.086647727,0.193465909,55429,0
H07,Broad Channel,broad channel,11692,40.592374,-73.788522,0,0.059680777,0.110340042,0.170020819,22108,0
H08,Beach 90 St,beach 90 st,11691,40.592943,-73.776013,0,0.059680777,0.110340042,0.170020819,22108,0
H09,Beach 98 St,beach 98 st,11691,40.595398,-73.768175,0.001582278,0.099449852,0.070249683,0.169699534,45314,0
H10,Beach 105 St,beach 105 st,11691,40.600066,-73.761353,0.035519126,0.147350362,0.027830728,0.17518109,45274,0
H11,Rockaway Park - Beach 116 St,rockaway park - beach 116 st,11691,40.603995,-73.755405,0.02131216,0.1937576,0.105391163,0.299148764,52658,0
D01,Beach 67 St,beach 67 st,10467,40.874811,-73.878855,0.026200873,0.140316969,0.068805566,0.209122536,37650,0
D03,Beach 60 St,beach 60 st,10458,40.873244,-73.887138,0.0125,0.132118928,0.070351759,0.202470687,42092,0
D04,Beach 44 St,beach 44 st,10458,40.866978,-73.893509,0.002989537,0.061968408,0.002835156,0.064803564,19129,0
D05,Beach 36 St,beach 36 st,10458,40.861296,-73.897749,0.00065703,0.091743119,0,0.091743119,22787,0
D06,Beach 25 St,beach 25 st,10457,40.856093,-73.900741,0.0025,0.076923077,0.023696682,0.100619759,22512,0
D07,Far Rockaway - Mott Av,far rockaway - mott av,10457,40.85041,-73.905227,0,0.036120401,0.007023411,0.043143813,26629,0
D08,Norwood - 205 St,norwood - 205 st,10457,40.8459,-73.910136,0.002228412,0.116453325,0.062441461,0.178894786,31965,0
D09,Bedford Park Blvd,bedford park blvd,10456,40.839306,-73.9134,0.001675042,0.075,0.020535714,0.095535714,26080,0
D10,Kingsbridge Rd,kingsbridge rd,10452,40.833771,-73.91844,0.004215457,0.060177415,0.029729082,0.089906497,27464,20.10843511
D11,Fordham Rd,fordham rd,10452,40.827905,-73.925651,0.001862197,0.096503782,0.043344919,0.139848702,29008,0
D12,182-183 Sts,182-183 sts,10039,40.830135,-73.938209,0.002926116,0.0835604,0.019073569,0.102633969,15536,0
B04,Tremont Av,tremont av,11101,40.754203,-73.942836,0.003250975,0.069670421,0.035043805,0.104714226,15384,0
B06,174-175 Sts,174-175 sts,10044,40.759145,-73.95326,0.113033175,0.223932539,0.411591487,0.635524026,70306,0.61088927
B08,170 St,170 st,10065,40.764629,-73.966113,0.238679245,0.450769949,0.372375175,0.823145124,162850,0
B10,167 St,167 st,10019,40.763972,-73.97745,0.174922601,0.344951923,0.436298077,0.78125,122593,0
D15,161 St - Yankee Stadium,161 st - yankee stadium,10020,40.758663,-73.981329,0.221908526,0.431818182,0.174242424,0.606060606,135408,0
D16,155 St,155 st,10036,40.754222,-73.984569,0.057471264,0.22,0.22,0.44,106499,0
D17,21 St - Queensbridge,21 st - queensbridge,10001,40.749719,-73.987823,0.151289009,0.325976231,0.308998302,0.634974533,101631,0
D18,Roosevelt Island,roosevelt island,10010,40.742878,-73.992821,0.274093511,0.391806331,0.401489758,0.793296089,123357,0
D19,Lexington Av/63 St,lexington av/63 st,10011,40.738228,-73.996209,0.209895338,0.334941595,0.414931437,0.749873032,110551,0
D21,57 St,57 st,10012,40.725297,-73.996204,0.275834658,0.508899912,0.180332652,0.689232565,118156,0
D22,47-50 Sts - Rockefeller Ctr,47-50 sts - rockefeller ctr,10002,40.718267,-73.993753,0.072118286,0.296817715,0.076110867,0.372928582,42749,0
F14,42 St - Bryant Pk,42 st - bryant pk,10003,40.723402,-73.989938,0.115163148,0.298305085,0.248728814,0.547033898,38275,0
F15,34 St - Herald Sq,34 st - herald sq,10002,40.718611,-73.988114,0.072118286,0.296817715,0.076110867,0.372928582,42749,0
F16,23 St,23 st,10002,40.713715,-73.990173,0.016657853,0.153235961,0.039032989,0.19226895,20986,5.950705671
F18,14 St,14 st,11201,40.701397,-73.986751,0.253680634,0.423295455,0.384785354,0.808080808,144423,0
F20,Broadway-Lafayette St,broadway-lafayette st,11201,40.686145,-73.990862,0.162146226,0.427123383,0.341139462,0.768262845,96572,0
F21,Grand St,grand st,11231,40.680303,-73.995048,0.163710086,0.294370963,0.322977545,0.617348508,90593,0
